,Lemma,definition
4083,близость,"<i>Noun</i><br>1. nearness, proximity, closeness<br>2. intimacy"
4084,кружка,"<i>Noun</i><br>1. (small) circle, ring<br>2. circle, study group, interest group<br>3. kroužek"
4085,спальня,<i>Noun</i><br>1. bedroom<br>2. suite of furniture for a bedroom
4086,Яковлев,
4087,референдум,<i>Noun</i><br>1. referendum
4088,размещение,"<i>Noun</i><br>1. placing, placement<br>2. accommodation<br>3. deployment, stationing<br>4. placement, layout; distribution pattern<br>5. placement"
4089,принципиально,<i>Adjective</i><br>1. (of) principle<br>2. fundamental
4090,свойственный,"<i>Adjective</i><br>1. inherent, typical (of, for), peculiar (to)"
4091,склон,<i>Noun</i><br>1. slope
4092,юбка,"<i>Noun</i><br>1. skirt (part of clothing, especially woman's)<br>2. woman (as an object of a man's interest)"
4093,переехать,"<i>Verb</i><br>1. to move (to change residence)<br>2. to cross, to run over, to drive over"
4094,послышаться,
4095,диск,"<i>Noun</i><br>1. disk, disc<br>2. discus, platter<br>3. cartridge-drum<br>4. CD, compact disc"
4096,бормотать,"<i>Verb</i><br>1. to mutter, to murmur, to babble, to ramble"
4097,бесплатный,"<i>Adjective</i><br>1. free, gratuitous, rent-free"
4098,расширить,"<i>Verb</i><br>1. to widen, to broaden<br>2. to increase<br>3. to broaden, to enlarge, to extend, to expand"
4099,мудрый,<i>Adjective</i><br>1. wise
4100,противоречить,"<i>Verb</i><br>1. to contradict<br>2. to contrary, to be at variance, to conflict"
4101,поэма,<i>Noun</i><br>1. poem (large poem)
4102,силовой,"<i>Adjective</i><br>1. strength-based<br>2. force<br>3. power (energy-producing)<br>4. force-based, using troops"
4103,уточнить,"<i>Verb</i><br>1. to specify, to make more exact/precise<br>2. to inquire, to clarify by inquiring, to straighten out"
4104,платформа,"<i>Noun</i><br>1. platform<br>2. goods truck, flatcar<br>3. platform sole"
4105,триста,<i>Numeral</i><br>1. three hundred (300)
4106,вкусный,<i>Adjective</i><br>1. tasty (having a pleasant flavor)
4107,уверять,"<i>Verb</i><br>1. to assure<br>2. to make believe<br>3. to convince, to persuade"
4108,пар,"<i>Noun</i><br>1. pair, couple<br>2. equal, match, equivalent<br>3. a few, not many<br>4. two, around two<br>5. two-hour lecture<br>6. suit<br><i>Noun</i><br>1. pair, couple<br>2. equal, match, equivalent<br>3. a few, not many<br>4. two, around two<br>5. two-hour lecture<br>6. suit"
4109,финансы,"<i>Noun</i><br>1. finance (management of money and other assets, the monetary resources)"
4110,ванная,<i>Noun</i><br>1. bathroom
4111,акцент,"<i>Noun</i><br>1. (grammar) stress, accent<br>2. accent (foreign or local)<br>3. accent, emphasis, stress"
4112,мучить,"<i>Verb</i><br>1. to torment, to anguish (cause to suffer pain)<br>2. to torture<br>3. to wear out, to bore, to tire out, to pester"
4113,инвалид,"<i>Noun</i><br>1. a disabled person, an invalid<br>2. an invalid"
4114,цепочка,"<i>Noun</i><br>1. chain<br>2. row, series<br>3. electric circuit<br>4. line, file"
4115,сниматься,"<i>Verb</i><br>1. to take off, to take away, to take down<br>2. to take, to make<br>3. to photograph, to film<br>4. to rent (e.g. an apartment)"
4116,лавка,"<i>Noun</i><br>1. bench<br>2. a small shop, store"
4117,ограниченный,"<i>Verb</i><br>1. to confine, to limit, to restrict, to cut down<br>2. to constrain, to bound"
4118,механический,<i>Adjective</i><br>1. mechanical (related to mechanics; done by machine)<br>2. automatic (acting without conscious thought)
4119,бокал,<i>Noun</i><br>1. wine glass
4120,отложить,"<i>Verb</i><br>1. to set aside<br>2. to lay by, to save (money for some purchase)<br>3. to put off, to delay, to adjourn, to postpone<br>4. to lay (eggs, spawn etc.)<br>5. to fold/turn back"
4121,разбудить,"<i>Verb</i><br>1. to wake up, to awake, to waken"
4122,жуткий,"<i>Adjective</i><br>1. horrifying, horrible, inducing a sense of horror<br>2. horrible, bad, of poor quality<br>3. extreme"
4123,ЮКОС,
4124,отмечаться,"<i>Verb</i><br>1. to mark<br>2. to note<br>3. to mark off, to make a note (of)<br>4. to mention, to point to, to record<br>5. to celebrate, to mark by celebration, to commemorate, to observe<br>6. to register (out), to sign out"
4125,подбородок,<i>Noun</i><br>1. chin
4126,дескать,"<i>Particle</i><br>1. (a particle to introduce direct speech, somebody else's words or thoughts - real or imaginary), allegedly"
4127,кисть,"<i>Noun</i><br>1. brush, paintbrush<br>2.  hand<br>3. tassel"
4128,бросаться,"<i>Verb</i><br>1. to throw, to drop<br>2. to send urgently<br>3. to abandon, to forsake<br>4. to give up, to quit, to leave off<br>5. to jilt"
4129,грустно,<i>Adjective</i><br>1. sad
4130,распространяться,"<i>Verb</i><br>1. to proliferate, to spread, to diffuse, to distribute"
4131,килограмм,<i>Noun</i><br>1. kilogram
4132,рай,"<i>Noun</i><br>1. paradise, heaven"
4133,вопреки,"<i>Preposition</i><br>1. in spite of, contrary to"
4134,бар,"<i>Noun</i><br>1. boyar, barin, nobleman, gentleman, landlord (a rank of aristocracy in Russia)<br>2. a form of address to noble people, sir, master<br>3. a person who doesn't want to work"
4135,голосование,"<i>Noun</i><br>1. voting, poll, polling<br>2. hitchhiking (from raising a hand as if voting)"
4136,облегчение,"<i>Noun</i><br>1. relief, alleviation, easement"
4137,петербургский,<i>Adjective</i><br>1. St. Petersburg
4138,удержаться,"<i>Verb</i><br>1. to retain, to hold<br>2. to hold back, to keep (from), to withhold<br>3. to suppress<br>4. to deduct, to keep back"
4139,смелый,"<i>Adjective</i><br>1. courageous, daring, audacious, bold, brave"
4140,идиот,<i>Noun</i><br>1. idiot
4141,привлечение,"<i>Noun</i><br>1. effort to attract<br>2. involvement<br>3. impleading, institution"
4142,Евгения,"<i>Proper noun</i><br>1. A female given name, Yevgeniya, from Ancient Greek, equivalent to English Eugenia"
4143,трибуна,<i>Noun</i><br>1. tribune (Ancient Roman official)<br><i>Noun</i><br>1. tribune (Ancient Roman official)
4144,койка,"<i>Noun</i><br>1. bunk, hammock<br>2. hospital bed"
4145,инфекция,<i>Noun</i><br>1. infection
4146,тяжкий,"<i>Adjective</i><br>1. hard, grave<br>2. terrible, painful"
4147,тур,
4148,резерв,"<i>Noun</i><br>1. reserve, reserves (that which is reserved, or kept back, as for future use)"
4149,медленный,<i>Adjective</i><br>1. slow
4150,пострадать,<i>Verb</i><br>1. to suffer<br>2. to come to harm
4151,якорь,"<i>Noun</i><br>1. anchor<br>2. (electrical) armature core, armature<br>3. (acoustic) reed"
4152,жаркий,"<i>Adjective</i><br>1. hot, make one feel hot (such as of the surrounding air or the sun)<br>2. having a hot climate, southern, tropical<br>3. fervent, warm, passionate"
4153,заявка,"<i>Noun</i><br>1. application, claim, request, demand"
4154,сократить,"<i>Verb</i><br>1. to shorten, to curtail, to abridge, to abbreviate<br>2. to reduce, to cut, to curtail, to retrench<br>3. to dismiss, to discharge; to lay off<br>4. to cancel, to abbreviate by cancellation"
4155,обычай,"<i>Noun</i><br>1. custom, usage (habit or accepted practice)"
4156,Толя,"<i>Proper noun</i><br>1. A diminutive, Tolya, of the male given name Анато́лий (Anatólij), equivalent to English Anatolius or Anatole"
4157,тесно,"<i>Adjective</i><br>1. tight, close, narrow<br>2. small<br>3. too tight, too narrow"
4158,ошибаться,"<i>Verb</i><br>1. to make a mistake, to err"
4159,красиво,"<i>Adjective</i><br>1. beautiful, handsome<br>2. fine"
4160,живопись,"<i>Noun</i><br>1. painting<br>2. pictures, paintings"
4161,такой-то,"<i>Determiner</i><br>1. such-and-such, so-and-so (unstated, given)<br>2. such person (in a document)"
4162,продаваться,"<i>Verb</i><br>1. to sell<br>2. to sell out, to betray"
4163,прощаться,"<i>Verb</i><br>1. to forgive, to pardon, to excuse<br>2. to remit<br>3. to condone, to overlook<br>4. to farewell"
4164,диплом,"<i>Noun</i><br>1. diploma (certificate)<br>2. certificate of degree (Russia, USSR)"
4165,дрова,<i>Noun</i><br>1. firewood<br>2. wood (low-quality wooden object)<br>3. drivers
4166,учительница,"<i>Noun</i><br>1. female teacher, female instructor"
4167,ядро,"<i>Noun</i><br>1. seed, stone<br>2.  cannonball, round shot<br>3. nucleus (a vowel or syllabic consonant in a syllable)<br>4. nucleus (an organelle which contains genetic material)<br>5. nucleus  (cluster of nucleons)<br>6. nucleus (cluster of neurons)<br>7. core<br>8. nucleus<br>9. core<br>10. kernel<br>11. cone<br>12. shot (heavy iron ball)<br>13. core members, activists<br>14. core (set of allocations that cannot be improved)<br>15. nullspace, kernel (set of all elements mapped to the zero element by a transformation)<br>16. kernel (a function used to define an integral transform)"
4168,приватизация,<i>Noun</i><br>1. privatization
4169,окошко,<i>Noun</i><br>1. window
4170,загадка,"<i>Noun</i><br>1. riddle, conundrum, puzzle<br>2. mystery, enigma"
4171,христов,<i>Adjective</i><br>1. Christ’s<br><i>Noun</i><br>1. Christ’s
4172,опора,"<i>Noun</i><br>1. support, prop, rest<br>2. buttress, pier (anything that serves to support something)"
4173,ворот,"<i>Noun</i><br>1. gate<br>2. goal (in many sports, e.g. soccer, an area into which the players attempt to put an object)<br><i>Noun</i><br>1. gate<br>2. goal (in many sports, e.g. soccer, an area into which the players attempt to put an object)"
4174,годовой,<i>Adjective</i><br>1. annual (happening once a year)
4175,заметка,"<i>Noun</i><br>1. note (memorandum)<br>2. a short article, item"
4176,неподалеку,"<i>Adverb</i><br>1. nearby, within easy reach<br>2. around here, about<br>3. thereabouts, thereabout"
4177,Испания,<i>Proper noun</i><br>1. Spain (a country in Southern Europe)
4178,универсальный,<i>Adjective</i><br>1. universal (useful for many purposes)
4179,учеба,"<i>Noun</i><br>1. studies, learning<br>2. study, training, drill"
4180,сорвать,"<i>Verb</i><br>1. to pick, to pluck (flowers or fruits)<br>2. to tear off<br>3. to ruin, to destroy, to frustrate, to derange (e.g. a plan, work)<br>4. to wrench off (thread)<br>5. to vent (upon)"
4181,шинель,<i>Noun</i><br>1. uniform overcoat
4182,просыпаться,"<i>Verb</i><br>1. to oversleep, to sleep in<br>2. to miss (an opportunity, a chance etc.)<br><i>Verb</i><br>1. to oversleep, to sleep in<br>2. to miss (an opportunity, a chance etc.)<br><i>Verb</i><br>1. to oversleep, to sleep in<br>2. to miss (an opportunity, a chance etc.)"
4183,сметь,"<i>Verb</i><br>1. to dare, to make bold, to be so bold as to"
4184,недолго,"<i>Adjective</i><br>1. brief, short, not long"
4185,сохраняться,"<i>Verb</i><br>1. to save (to write a file to a disk)<br>2. to preserve, to conserve"
4186,ноготь,<i>Noun</i><br>1. nail (of finger or toe)
4187,предупреждение,"<i>Noun</i><br>1. notice, warning, notification<br>2. prevention"
4188,личной,<i>Adjective</i><br>1. personal (relating to a particular person)<br>2. personal
4189,приложить,"<i>Verb</i><br>1. to put (next to)<br>2. to enclose, to join, to attach<br>3. to apply, to use<br>4. to smack, to whack"
4190,конструктор,"<i>Noun</i><br>1. designer, design engineer, constructor<br>2. construction set, assembly kit"
4191,преподобный,"<i>Adjective</i><br>1. reverend, saint"
4192,формальный,<i>Adjective</i><br>1. formal
4193,наметить,"<i>Verb</i><br>1. to design, to plan, to contemplate, to lay down (a program)<br>2. to select, to nominate<br>3. to mark, to make a mark on"
4194,исключать,<i>Verb</i><br>1. to exclude<br>2. to expel<br>3. to eliminate
4195,запереть,"<i>Verb</i><br>1. to lock<br>2. to block up, to bar, to blockade"
4196,Мишка,"<i>Proper noun</i><br>1. A male given name, Mikhail, from Hebrew, equivalent to English Michael"
4197,Гоша,
4198,топор,"<i>Noun</i><br>1. axe, ax, hatchet"
4199,наивный,"<i>Adjective</i><br>1. naive, ingenuous, unsophisticated"
4200,залить,"<i>Verb</i><br>1. to flood (in terms of bodies of water)<br>2. to fill up (with liquid)<br>3. to pour on, to spill<br>4. to upload"
4201,либеральный,<i>Adjective</i><br>1. liberal
4202,филиал,"<i>Noun</i><br>1. branch office, branch (office of an organization with several locations)<br>2. subsidiary<br>3. affiliate"
4203,физик,<i>Noun</i><br>1. physics (branch of science)<br><i>Noun</i><br>1. physics (branch of science)
4204,годиться,"<i>Verb</i><br>1. to suit<br>2. to be fit (for), to be of use"
4205,коричневый,"<i>Adjective</i><br>1. brown<br>2. ultra-nationalistic, fascist, far right-wing, jingoist"
4206,отечество,"<i>Noun</i><br>1. fatherland, motherland, native land, native country, country<br>2. mother country, home country, homeland"
4207,выехать,<i>Verb</i><br>1. to exit (by vehicle)
4208,кровавый,"<i>Adjective</i><br>1. bloody<br>2. sanguinary, murderous<br>3. blood-stained<br>4. blood-red"
4209,национальность,"<i>Noun</i><br>1. ethnic group; ethnicity<br>2. nationality (the status of belonging to a particular nation, a particular country)"
4210,барон,<i>Noun</i><br>1. baron
4211,диаметр,<i>Noun</i><br>1. diameter (line)
4212,одобрить,"<i>Verb</i><br>1. to approbate, to approve, to pass, to sanction, to authorize"
4213,покрытие,"<i>Noun</i><br>1. covering, coating<br>2. coat, surface<br>3. discharge, payment<br>4. coverage (of insurance etc)"
4214,осознать,"<i>Verb</i><br>1. to recognize, to fathom, to realize, to be aware"
4215,снежный,<i>Adjective</i><br>1. snow; snowy
4216,тест,"<i>Noun</i><br>1. dough, paste, batter"
4217,ЗАО,
4218,эмоциональный,<i>Adjective</i><br>1. emotional
4219,жирный,<i>Adjective</i><br>1. fat<br>2. grease<br>3. greasy<br>4. fleshy<br>5. rich<br>6. bold
4220,светиться,<i>Verb</i><br>1. to shine<br>2. to give someone light<br>3. to have a chance
4221,спортсмен,"<i>Noun</i><br>1. athlete, sportsman"
4222,усесться,"<i>Verb</i><br>1. to sit down (comfortably), to take a seat"
4223,пляж,<i>Noun</i><br>1. beach
4224,владыка,"<i>Noun</i><br>1. sovereign, lord, arbiter, overlord (judge without control)<br>2. bishop"
4225,конверт,<i>Noun</i><br>1. envelope (for mailing)
4226,Орлов,
4227,Иона,
4228,митрополит,<i>Noun</i><br>1. metropolitan
4229,застать,"<i>Verb</i><br>1. to find, to catch, to (manage to) meet (e.g. someone at home or at work)"
4230,девятый,<i>Adjective</i><br>1. ninth
4231,кукла,<i>Noun</i><br>1. doll<br>2. puppet<br>3.  fake money
4232,Гоголь,<i>Proper noun</i><br>1. A  surname​.
4233,эволюция,<i>Noun</i><br>1. evolution
4234,искренний,"<i>Adjective</i><br>1. sincere<br>2. frank, candid"
4235,старшина,<i>Noun</i><br>1. sergeant major<br>2. foreman
4236,десятый,<i>Adjective</i><br>1. tenth
4237,болото,"<i>Noun</i><br>1. bog, swamp, marsh, quagmire, mire"
4238,евангелие,<i>Noun</i><br>1. gospel (first section of New Testament)
4239,прекращение,<i>Noun</i><br>1. cessation (a ceasing or discontinuance)
4240,барак,"<i>Noun</i><br>1. bunkhouse, barrack"
4241,семьдесят,<i>Numeral</i><br>1. seventy (70)
4242,устанавливаться,"<i>Verb</i><br>1. to install, to place, to mount<br>2. to establish<br>3. to determine, to fix, to ascertain"
4243,поправить,"<i>Verb</i><br>1. to correct, to improve, to repair<br>2. to adjust, to put/set right"
4244,отпускать,"<i>Verb</i><br>1. to let go, to let off<br>2. to release, to set free<br>3. to dismiss, to give leave<br>4. to supply, to serve, to issue, to give out, to sell<br>5. to allot, to assign, to allow, to provide<br>6. to slacken, to relax, to turn loose, to loosen<br>7. to remit, to forgive<br>8. (hair or beard) to grow, to let grow<br>9. (metal) to temper, to draw<br>10. (pain) to lessen, to ease"
4245,Попов,"<i>Proper noun</i><br>1. A  surname​: Popov, Alexander Popov, Russian physicist who first demonstrated the practical application of electromagnetic (radio) waves"
4246,совершение,"<i>Noun</i><br>1. accomplishment, fulfilment, perpetration<br>2. execution"
4247,Александра,"<i>Proper noun</i><br>1. A male given name, equivalent to English Alexander"
4248,поручение,"<i>Noun</i><br>1. assignment, commission, errand<br>2. order"
4249,жених,<i>Noun</i><br>1. bridegroom; fiancé
4250,охранять,"<i>Verb</i><br>1. to guard, to safeguard, to defend, to preserve (e.g. the environment)"
4251,носок,"<i>Noun</i><br>1. nose<br>2. bow, prow (boats)<br>3. forepart, point<br>4. horn (of an anvil)<br>5. headland, promontory, point (geology)<br>6. lip (for pouring)"
4252,задумать,<i>Verb</i><br>1. to devise<br>2. to think (of)
4253,сыворотка,<i>Noun</i><br>1. whey<br>2. serum (blood serum)
4254,патрон,"<i>Noun</i><br>1. cartridge, shell, plural ammunition<br>2. chuck<br>3. lamp socket<br>4. tailor's pattern<br><i>Noun</i><br>1. cartridge, shell, plural ammunition<br>2. chuck<br>3. lamp socket<br>4. tailor's pattern"
4255,Сахаров,<i>Proper noun</i><br>1. A  surname​: Sakharov
4256,германский,<i>Adjective</i><br>1. German<br>2. Germanic
4257,выводить,"<i>Verb</i><br>1. to take out, to lead out, to bring out, to move out; to help out (help somebody to get off)<br>2. to withdraw, to call off (troops)<br>3. to derive, to conclude, to infer, to deduce<br>4. to remove<br>5. to extirpate, to destroy; to exterminate (pests); to remove (stains, pimples)"
4258,лозунг,"<i>Noun</i><br>1. slogan, watchword"
4259,медный,"<i>Adjective</i><br>1. copper; cupric, cuprous, cupreous<br>2. copper colored, reddish-yellow"
4260,одиннадцать,<i>Numeral</i><br>1. eleven (11)
4261,Лида,"<i>Proper noun</i><br>1. A diminutive, Lida, of the female given name Ли́дия (Lídija)<br><i>Proper noun</i><br>1. A diminutive, Lida, of the female given name Ли́дия (Lídija)"
4262,рассвет,"<i>Noun</i><br>1. dawn, daybreak"
4263,отнять,"<i>Verb</i><br>1. to take (from)<br>2. to subtract; to take away; to abstract<br>3. to deduct, to take away, to take from, to take off<br>4. to take away (from); to bereave (of)<br>5. to withdraw; to remove (hands)<br>6. to rob (of), to deprive (of)<br>7. to amputate"
4264,стабильность,<i>Noun</i><br>1. stability
4265,сволочь,"<i>Noun</i><br>1. riffraff, rabble<br>2. asshole, scoundrel, drag<br><i>Verb</i><br>1. riffraff, rabble<br>2. asshole, scoundrel, drag"
4266,продемонстрировать,"<i>Verb</i><br>1. to demonstrate, to exhibit, to show"
4267,телевизионный,"<i>Adjective</i><br>1. TV, television; tele-"
4268,неудача,"<i>Noun</i><br>1. misfortune, mishap, bad luck, failure"
4269,эфир,"<i>Noun</i><br>1. ether (organic chemistry: a compound containing an oxygen atom bonded to two hydrocarbon groups)<br>2. luminiferous aether, aether<br>3. ether<br>4. air"
4270,послужить,"<i>Verb</i><br>1. to serve (for some time)<br>2. to serve, to act, to work (as), to be"
4271,пермский,<i>Adjective</i><br>1. Perm<br>2. Permian<br>3. Permic
4272,преследовать,"<i>Verb</i><br>1. to pursue, to chase<br>2. to persecute<br>3. to torment, to victimize<br>4. to prosecute<br>5. to strive (for); to pursue<br>6. to haunt"
4273,римский,<i>Adjective</i><br>1. Roman
4274,секретный,"<i>Adjective</i><br>1. secret<br>2. clandestine (secret; covert, as a clandestine organization)<br>3. covert"
4275,ширина,"<i>Noun</i><br>1. width, breadth"
4276,по-своему,<i>Adverb</i><br>1. according to one’s own way<br>2. according to one’s way of thinking<br>3. according to one’s way of doing
4277,КПРФ,
4278,всюду,"<i>Adverb</i><br>1. everywhere, anywhere"
4279,сталкиваться,<i>Verb</i><br>1. to push (off or away)<br>2. to bring together<br>3. to cause to collide
4280,Славка,
4281,приветствовать,"<i>Verb</i><br>1. to greet, to hail, to welcome<br>2. to salute"
4282,обувь,"<i>Noun</i><br>1. footwear, shoes"
4283,мелодия,"<i>Noun</i><br>1. tune, melody"
4284,гастроли,<i>Noun</i><br>1. (concert) tour
4285,намек,"<i>Noun</i><br>1. hint, suggestion<br>2. allusion, implication<br>3. tip (piece of private information)<br>4. inkling<br>5. insinuation"
4286,заново,"<i>Adverb</i><br>1. anew, freshly, again"
4287,поместить,"<i>Verb</i><br>1. to place, to put, to locate, to position, to set, to bestow, to stand<br>2. to invest<br>3. to lodge, to accommodate, to put up, to settle<br>4. to insert, to publish"
4288,раб,<i>Noun</i><br>1. female slave<br><i>Noun</i><br>1. female slave
4289,Клава,
4290,раздражение,"<i>Noun</i><br>1. irritation, annoyance"
4291,первоначальный,"<i>Adjective</i><br>1. initial, original<br>2. elementary<br>3. primary"
4292,благоприятный,"<i>Adjective</i><br>1. favourable, auspicious, advantageous"
4293,ежегодно,"<i>Adverb</i><br>1. annually, yearly (once every year)<br>2. per annum, p.a."
4294,Великобритания,<i>Proper noun</i><br>1. the United Kingdom (a country in Western Europe)<br>2. Great Britain (an island in Western Europe)
4295,пруд,<i>Noun</i><br>1. pond
4296,освоение,<i>Noun</i><br>1. mastering<br>2. disbursement
4297,внимательный,"<i>Adjective</i><br>1. attentive, observant, observing, mindful, watchful"
4298,принц,"<i>Noun</i><br>1. prince, crown prince (male ruler or head of a principality)"
4299,полнота,"<i>Noun</i><br>1. completeness, coverage<br>2. fullness, fulness<br>3. plenitude<br>4. entirety<br>5. integrality<br>6. integrity<br>7. fleshiness<br>8. obesity<br>9. fat, fatness, plumpness<br>10. embonpoint<br>11. amplitude (magnitude)<br>12. instep"
4300,запустить,"<i>Verb</i><br>1. to launch (a missile, rocket, a probe, etc.)<br>2. to launch; to start (operation or manufacturing of something)<br>3. to let in<br>4. to neglect, to fail to take care of, to let something decline or decay; to abandon"
4301,кремлевский,<i>Adjective</i><br>1. Kremlin
4302,развернуться,"<i>Verb</i><br>1. to unroll, to unwind, to unfold, to unwrap<br>2. to show, to display<br>3. to start (up)<br>4. to put on a wide scale, to widen, to broaden, to expand<br>5. to deploy, to extend<br>6. to expand (into)<br>7. to turn, to swing about, to swing around, to slew (about), to make a U-turn"
4303,присущий,<i>Adjective</i><br>1. inherent
4304,мастерство,"<i>Noun</i><br>1. mastery, skill<br>2. trade, craft"
4305,стальной,"<i>Adjective</i><br>1. steel<br>2. steel, iron"
4306,котел,"<i>Noun</i><br>1. cauldron<br>2. boiler (closed vessel for generating steam or heating water)<br>3. shared supply of food<br>4. A very large encirclement; pocket, entrapment<br>5. pot (money available to be won in a card hand)"
4307,Казахстан,<i>Proper noun</i><br>1. Kazakhstan (a country in Central Asia)
4308,рядовой,"<i>Adjective</i><br>1. row, line<br>2. ordinary, common, average, routine<br>3. rank and file<br><i>Noun</i><br>1. row, line<br>2. ordinary, common, average, routine<br>3. rank and file"
4309,сформировать,"<i>Verb</i><br>1. to form, to shape, to mould, to make up"
4310,ловко,"<i>Adjective</i><br>1. adroit, dexterous, deft<br>2. cunning, smart, crafty, never at a loss<br>3. comfortable"
4311,колебание,"<i>Noun</i><br>1. oscillation, vibration<br>2. fluctuation, variation<br>3. hesitation, vacillation, wavering"
4312,снаряд,"<i>Noun</i><br>1.  shell, missile, projectile<br>2. apparatus<br>3. tool, equipment<br>4. tackle"
4313,подчиняться,"<i>Verb</i><br>1. to subordinate (to), to place (under), to place under the command<br>2. to subdue<br>3. to dedicate<br>4. to subordinate"
4314,поражать,"<i>Verb</i><br>1. to hit, to affect, to strike, to defeat (to infect or harm)<br>2. to amaze, to strike, to stagger, to startle"
4315,давить,"<i>Verb</i><br>1. to weigh, to lie heavy<br>2. to crush<br>3. to press, to squeeze<br>4. to suppress, to stifle<br>5. to kill, to destroy<br>6. to put pressure on, to pressurize, to pressure"
4316,скрытый,"<i>Verb</i><br>1. to hide, to conceal<br>2. to dissemble, to keep back<br>3. to keep secret"
4317,лук,<i>Noun</i><br>1. bend (in a river or road)<br>2. pommel (of a saddle)<br>3. saddlebow<br><i>Noun</i><br>1. bend (in a river or road)<br>2. pommel (of a saddle)<br>3. saddlebow
4318,фантастический,<i>Adjective</i><br>1. fantastical
4319,зелень,"<i>Noun</i><br>1. verdure (greenness, vegetation)<br>2. greens; vegetables, edible grass (i. e. dill, parsley, etc.)<br>3. dollars, greenbacks"
4320,предвыборный,"<i>Adjective</i><br>1. preelection, election"
4321,популярность,<i>Noun</i><br>1. popularity
4322,свое,<i>Pronoun</i><br>1. nominative/accusative neuter singular of свой (svoj)
4323,печатать,"<i>Verb</i><br>1. to print (to copy something on a surface, especially by machine)<br>2. to type (to use a typewriter or to enter text or commands into a computer using a keyboard)"
4324,индивид,<i>Noun</i><br>1. individual
4325,некогда,"<i>Adverb</i><br>1. there is no time to (negative of когда́ (kogdá))<br>2. in the old days, in former times, formerly, once"
4326,Газпром,
4327,пушка,<i>Noun</i><br>1. down<br>2. fluff<br>3. bloom (on fruit)
4328,ток,<i>Noun</i><br>1. current<br><i>Noun</i><br>1. current<br><i>Noun</i><br>1. current<br><i>Noun</i><br>1. current
4329,угу,"<i>Interjection</i><br>1. uh-huh, yep, yeah (colloquial form of yes)"
4330,оправдать,"<i>Verb</i><br>1. to justify, to warrant, to authorize, to vindicate<br>2. to acquit, to discharge; to exonerate<br>3. to excuse"
4331,применить,"<i>Verb</i><br>1. to apply, to use, to employ"
4332,сравнивать,<i>Verb</i><br>1. to compare<br><i>Verb</i><br>1. to compare<br><i>Verb</i><br>1. to compare
4333,сверкать,"<i>Verb</i><br>1. to sparkle, to twinkle<br>2. to glitter<br>3. to glare"
4334,снизить,"<i>Verb</i><br>1. to bring down, to reduce"
4335,вылезти,"<i>Verb</i><br>1. to get out, to climb out, to get off<br>2. (of hair) to fall out, to come out"
4336,благодарный,"<i>Adjective</i><br>1. thankful (showing thanks)<br>2. <br>3. worth doing, worthwhile"
4337,Павловна,<i>Proper noun</i><br>1. A  patronymic​. Pavlovna
4338,закрепить,"<i>Verb</i><br>1. to fasten, to secure, to fix, to attach, to mount, to anchor<br>2. to consolidate, to strengthen<br>3. to allot"
4339,одинаково,"<i>Adverb</i><br>1. equally, evenly (in an equal manner)"
4340,безумный,"<i>Adjective</i><br>1. crazy, mad, insane<br>2. rash, reckless"
4341,направляться,"<i>Verb</i><br>1. to direct<br>2. to turn, to aim, to level, to point<br>3. to refer, to send, to assign, to detach<br>4. to sharpen"
4342,крем,"<i>Noun</i><br>1. cream, creme"
4343,пароход,"<i>Noun</i><br>1. steamboat, steamer, steamship"
4344,Ира,
4345,придать,"<i>Verb</i><br>1. to give, to impart; to attach<br>2. to increase, to strengthen"
4346,воспринять,"<i>Verb</i><br>1. to perceive, to apprehend<br>2. to appreciate, to take in (to be aware of)"
4347,прилететь,"<i>Verb</i><br>1. to fly (here), to arrive (by flying)"
4348,звон,"<i>Noun</i><br>1. ring, jingle, chime (sound)"
4349,машинка,"<i>Noun</i><br>1. car, motor vehicle<br>2. machine<br>3. computer<br>4. accelerator"
4350,препятствие,"<i>Noun</i><br>1. obstacle, impediment"
4351,Иоанн,"<i>Proper noun</i><br>1. John (biblical figure)<br>2. A male given name, Ioann, of old usage, equivalent to English John"
4352,инфраструктура,<i>Noun</i><br>1. infrastructure (an underlying base or foundation especially for an organization or system)
4353,слушатель,"<i>Noun</i><br>1. listener, hearer, audience (someone who listens)<br>2. student"
4354,уложить,"<i>Verb</i><br>1. to lay<br>2. to pack up<br>3. to stow, to pile, to stack<br>4. (hair) to arrange, to style"
4355,вздрогнуть,"<i>Verb</i><br>1. to start, to startle, to flinch, to wince"
4356,приблизиться,"<i>Verb</i><br>1. to draw near, to approach<br>2. to near<br>3. to approximate"
4357,супруга,"<i>Noun</i><br>1. husband, male spouse<br>2. (in the plural) husband and wife, couple<br><i>Noun</i><br>1. husband, male spouse<br>2. (in the plural) husband and wife, couple"
4358,обещание,<i>Noun</i><br>1. promise (vow)
4359,драгоценный,<i>Adjective</i><br>1. precious
4360,забить,"<i>Verb</i><br>1. to drive in (nail), to hammer in, to nail up<br>2. to score (a goal)<br>3. to beat up<br>4. to slaughter<br>5. to block up, to stop up, to cram, to obstruct<br>6. to outdo, to surpass<br>7. to ignore, to neglect something the actor is supposed to do<br>8. to stop doing something especially because of one's couldn't care less attitude<br>9. to give up on one's (previous) intention<br>10. to reserve, to earmark"
4361,Афганистан,<i>Proper noun</i><br>1. Afghanistan (a country in Central Asia; capital: Kabul)
